code_type;code_commune;geo point;geo shape;infobulle;nom;ligne;en_service;couvert;etiquette;num_sation;nb_bornettes;rue;mot_directeur;No;locations_2016;nb_places
9;;43.60476149831265, 1.3128269702688389;"{""coordinates"": [[1.312826970268839, 43.60476149831265]], ""type"": ""MultiPoint""}";"Arrêt: Chasse
150 151";Chasse;150 151;;;;;;;;;;
9;;43.52510968157728, 1.2695483593993777;"{""coordinates"": [[1.269548359399378, 43.52510968157728]], ""type"": ""MultiPoint""}";"Arrêt: Chemin Du Bois
315";Chemin Du Bois;315;;;;;;;;;;
2;;43.58193504261356, 1.4078106586445012;"{""coordinates"": [[1.407810658644501, 43.58193504261356]], ""type"": ""MultiPoint""}";"Arrêt: Cher
13";Cher;13;;;;;;;;;;
2;;43.6640470368464, 1.3785787749279028;"{""coordinates"": [[1.378578774927903, 43.6640470368464]], ""type"": ""MultiPoint""}";"Arrêt: Cigognes
70";Cigognes;70;;;;;;;;;;
9;;43.398332567171494, 1.297570805909883;"{""coordinates"": [[1.297570805909883, 43.398332567171494]], ""type"": ""MultiPoint""}";"Arrêt: Cimetière
313";Cimetière;313;;;;;;;;;;
6;;43.71293375709594, 1.4767505624627906;"{""coordinates"": [[1.476750562462791, 43.71293375709594]], ""type"": ""MultiPoint""}";"Arrêt: Cimetière Montberon
26 SC25 SC26 SC34 SC35";Cimetière Montberon;26 SC25 SC26 SC34 SC35;;;;;;;;;;
9;;43.5865291753772, 1.5681149947380848;"{""coordinates"": [[1.568114994738085, 43.5865291753772]], ""type"": ""MultiPoint""}";"Arrêt: Cisarol
106";Cisarol;106;;;;;;;;;;
6;;43.58431699704644, 1.3992019742414903;"{""coordinates"": [[1.39920197424149, 43.58431699704644]], ""type"": ""MultiPoint""}";"Arrêt: Cité Scolaire Rive Gauche
14 18 87 SC29 SC30 SC38";Cité Scolaire Rive Gauche;14 18 87 SC29 SC30 SC38;;;;;;;;;;
13;;43.58552775986933, 1.3502866100952748;"{""coordinates"": [[1.350286610095275, 43.58552775986933]], ""type"": ""MultiPoint""}";"Arrêt: Cité du Parc
SC29";Cité du Parc;SC29;;;;;;;;;;
2;;43.563997497931, 1.490504892293441;"{""coordinates"": [[1.490504892293441, 43.563997497931]], ""type"": ""MultiPoint""}";"Arrêt: Clément Ader
37 78 80";Clément Ader;37 78 80;;;;;;;;;;
2;;43.63670765578226, 1.4409279603022092;"{""coordinates"": [[1.440927960302209, 43.63670765578226]], ""type"": ""MultiPoint""}";"Arrêt: Claude Bernard
60";Claude Bernard;60;;;;;;;;;;
3;;43.515836756415325, 1.3935445103570228;"{""coordinates"": [[1.393544510357023, 43.515836756415325]], ""type"": ""MultiPoint""}";"Arrêt: Clemenceau
311 316 317 320 50";Clemenceau;311 316 317 320 50;;;;;;;;;;
